passengers,day,date,weather,time_value,peak_hours,weekends,holidays
20,Wednesday,2024-10-30,Sunny,16:12,Yes,No,No
30,Friday,2024-05-03,Sunny,18:41,Yes,No,No
17,Saturday,2024-11-16,Rainy,22:55,No,Yes,No
35,Saturday,2024-06-29,Rainy,14:57,No,Yes,No
8,Saturday,2024-10-19,Rainy,06:28,Yes,Yes,No
39,Wednesday,2024-06-12,Sunny,11:50,No,No,No
28,Wednesday,2024-01-17,Sunny,21:44,No,No,No
34,Wednesday,2024-10-02,Sunny,22:23,No,No,No
8,Monday,2024-01-01,Sunny,07:42,Yes,No,Yes
49,Thursday,2024-01-04,Rainy,11:46,No,No,No
41,Saturday,2024-10-26,Rainy,17:47,Yes,Yes,No
48,Tuesday,2024-06-18,Sunny,09:21,Yes,No,No
15,Friday,2024-04-26,Rainy,22:56,No,No,No
36,Friday,2024-07-19,Rainy,07:49,Yes,No,No
10,Tuesday,2024-03-19,Sunny,14:36,No,No,No
32,Friday,2024-11-15,Sunny,20:31,No,No,No
16,Sunday,2024-10-27,Sunny,17:56,Yes,Yes,No
3,Tuesday,2024-07-16,Rainy,21:52,No,No,No
39,Friday,2024-03-15,Rainy,09:57,Yes,No,No
45,Wednesday,2024-10-02,Sunny,19:59,Yes,No,No
35,Thursday,2024-01-04,Sunny,15:23,No,No,No
14,Monday,2024-01-29,Rainy,12:16,No,No,No
45,Monday,2024-04-29,Rainy,10:20,No,No,No
45,Monday,2024-09-02,Sunny,21:42,No,No,No
34,Monday,2024-01-08,Sunny,10:17,No,No,No
39,Saturday,2024-12-21,Sunny,18:31,Yes,Yes,No
5,Saturday,2024-11-30,Rainy,15:07,No,Yes,No
4,Saturday,2024-05-25,Rainy,14:52,No,Yes,No
2,Thursday,2024-10-10,Rainy,15:51,No,No,No
5,Thursday,2024-07-25,Sunny,17:19,Yes,No,No
24,Saturday,2024-12-21,Rainy,22:35,No,Yes,No
21,Tuesday,2024-08-27,Rainy,17:28,Yes,No,No
23,Friday,2024-09-20,Rainy,14:33,No,No,No
47,Sunday,2024-06-30,Rainy,20:13,No,Yes,No
41,Thursday,2024-05-09,Rainy,18:52,Yes,No,No
9,Wednesday,2024-07-03,Sunny,19:28,Yes,No,No
33,Wednesday,2024-04-17,Rainy,07:25,Yes,No,No
11,Friday,2024-11-15,Rainy,05:17,No,No,No
27,Thursday,2024-06-06,Rainy,21:24,No,No,No
39,Monday,2024-06-17,Rainy,08:08,Yes,No,No
3,Thursday,2024-09-12,Rainy,22:51,No,No,No
19,Thursday,2024-12-05,Rainy,21:53,No,No,No
45,Tuesday,2024-01-23,Rainy,06:46,Yes,No,No
32,Wednesday,2024-04-10,Sunny,13:35,No,No,No
34,Tuesday,2024-02-20,Rainy,17:06,Yes,No,No
40,Tuesday,2024-01-02,Rainy,12:01,No,No,No
45,Thursday,2024-12-26,Rainy,14:46,No,No,No
22,Wednesday,2024-05-29,Sunny,11:07,No,No,No
36,Monday,2024-03-18,Rainy,14:08,No,No,No
48,Monday,2024-03-18,Sunny,16:39,Yes,No,No
11,Monday,2024-01-29,Sunny,18:20,Yes,No,No
37,Saturday,2024-11-09,Sunny,11:19,No,Yes,No
21,Sunday,2024-01-07,Rainy,17:01,Yes,Yes,No
33,Monday,2024-09-02,Rainy,07:25,Yes,No,No
36,Tuesday,2024-11-05,Sunny,13:27,No,No,No
4,Tuesday,2024-03-05,Sunny,13:10,No,No,No
41,Wednesday,2024-04-24,Rainy,14:29,No,No,No
47,Thursday,2024-01-04,Sunny,21:20,No,No,No
35,Friday,2024-11-01,Sunny,17:23,Yes,No,No
1,Friday,2024-04-26,Rainy,13:38,No,No,No
8,Sunday,2024-07-21,Rainy,21:55,No,Yes,No
28,Tuesday,2024-10-29,Sunny,22:42,No,No,No
38,Thursday,2024-06-20,Rainy,06:46,Yes,No,No
41,Monday,2024-07-01,Rainy,09:15,Yes,No,No
1,Thursday,2024-05-02,Sunny,16:30,Yes,No,No
15,Thursday,2024-01-11,Rainy,18:28,Yes,No,No
1,Wednesday,2024-02-07,Rainy,08:20,Yes,No,No
47,Monday,2024-11-04,Sunny,16:19,Yes,No,No
19,Saturday,2024-11-16,Sunny,20:11,No,Yes,No
10,Saturday,2024-06-22,Sunny,10:43,No,Yes,No
38,Sunday,2024-06-02,Sunny,16:47,Yes,Yes,No
20,Monday,2024-04-01,Sunny,07:35,Yes,No,No
35,Thursday,2024-01-11,Rainy,12:40,No,No,No
41,Monday,2024-02-26,Sunny,20:58,No,No,No
8,Wednesday,2024-12-11,Rainy,19:16,Yes,No,No
23,Wednesday,2024-10-30,Rainy,11:27,No,No,No
42,Thursday,2024-03-21,Sunny,13:10,No,No,No
36,Wednesday,2024-07-24,Sunny,20:14,No,No,No
41,Sunday,2024-08-18,Sunny,06:55,Yes,Yes,No
14,Tuesday,2024-07-02,Rainy,05:48,No,No,No
28,Thursday,2024-02-01,Sunny,12:11,No,No,No
32,Tuesday,2024-08-20,Rainy,11:07,No,No,No
43,Thursday,2024-06-06,Rainy,14:24,No,No,No
19,Friday,2024-01-05,Sunny,12:31,No,No,No
42,Thursday,2024-05-02,Rainy,13:25,No,No,No
30,Tuesday,2024-05-14,Sunny,16:59,Yes,No,No
35,Thursday,2024-01-04,Sunny,16:55,Yes,No,No
4,Tuesday,2024-03-26,Sunny,06:19,Yes,No,No
25,Wednesday,2024-02-21,Sunny,06:26,Yes,No,No
8,Wednesday,2024-11-06,Sunny,16:21,Yes,No,No
12,Tuesday,2024-10-01,Rainy,21:50,No,No,No
42,Thursday,2024-10-24,Rainy,18:05,Yes,No,No
42,Sunday,2024-09-22,Rainy,22:38,No,Yes,No
0,Monday,2024-11-04,Sunny,06:54,Yes,No,No
1,Tuesday,2024-05-28,Rainy,15:51,No,No,No
2,Thursday,2024-11-14,Rainy,21:21,No,No,No
44,Thursday,2024-09-26,Rainy,16:10,Yes,No,No
40,Monday,2024-03-18,Rainy,20:02,No,No,No
5,Sunday,2024-12-08,Rainy,18:12,Yes,Yes,No
31,Saturday,2024-06-29,Sunny,15:08,No,Yes,No
19,Monday,2024-07-08,Rainy,05:31,No,No,No
42,Friday,2024-09-13,Rainy,09:20,Yes,No,No
18,Saturday,2024-09-07,Rainy,10:48,No,Yes,No
32,Wednesday,2024-04-10,Sunny,19:57,Yes,No,No
